localidade,coluna_idx,valor
Brasil,1,24.34
Brasil,2,11.14
Brasil,3,25.42
Brasil,4,98.26
Brasil,5,92.57
Brasil,6,98.4
Brasil,7,85.25
Brasil,8,79.4
Brasil,9,85.45
Brasil,10,27.68
Brasil,11,27.45
Brasil,12,27.69
Brasil,13,6.1
Brasil,14,4.7
Brasil,15,6.25
Brasil,16,24.72
Brasil,17,12.26
Brasil,18,25.61
Brasil,19,98.18
Brasil,20,92.12
Brasil,21,98.34
Brasil,22,84.99
Brasil,23,77.35
Brasil,24,85.23
Brasil,25,25.7
Brasil,26,25.73
Brasil,27,25.7
Brasil,28,5.59
Brasil,29,4.46
Brasil,30,5.7
Brasil,31,23.99
Brasil,32,10.32
Brasil,33,25.25
Brasil,34,98.34
Brasil,35,93.12
Brasil,36,98.47
Brasil,37,85.53
Brasil,38,81.36
Brasil,39,85.67
Brasil,40,29.69
Brasil,41,29.01
Brasil,42,29.72
Brasil,43,6.56
Brasil,44,4.87
Brasil,45,6.75
Norte,1,30.3
Norte,2,14.01
Norte,3,31.63
Norte,4,96.89
Norte,5,90.29
Norte,6,97.06
Norte,7,83.67
Norte,8,79.07
Norte,9,83.82
Norte,10,28.73
Norte,11,30.8
Norte,12,28.65
Norte,13,7.6
Norte,14,5.98
Norte,15,7.79
Norte,16,30.04
Norte,17,14.41
Norte,18,31.21
Norte,19,96.78
Norte,20,89.75
Norte,21,96.97
Norte,22,83.9
Norte,23,76.81
Norte,24,84.12
Norte,25,27.38
Norte,26,28.93
Norte,27,27.33
Norte,28,6.7
Norte,29,5.36
Norte,30,6.84
Norte,31,30.56
Norte,32,13.68
Norte,33,32.06
Norte,34,97.01
Norte,35,90.97
Norte,36,97.15
Norte,37,83.43
Norte,38,81.13
Norte,39,83.51
Norte,40,30.1
Norte,41,32.5
Norte,42,30.01
Norte,43,8.48
Norte,44,6.49
Norte,45,8.72
Rondônia,1,27.54
Rondônia,2,13.6
Rondônia,3,28.66
Rondônia,4,97.62
Rondônia,5,93.97
Rondônia,6,97.71
Rondônia,7,84.76
Rondônia,8,84.05
Rondônia,9,84.78
Rondônia,10,29.78
Rondônia,11,29.54
Rondônia,12,29.79
Rondônia,13,7.84
Rondônia,14,6.22
Rondônia,15,8.01
Rondônia,16,26.8
Rondônia,17,13.48
Rondônia,18,27.79
Rondônia,19,97.41
Rondônia,20,93.62
Rondônia,21,97.51
Rondônia,22,83.09
Rondônia,23,74.96
Rondônia,24,83.33
Rondônia,25,26.59
Rondônia,26,30.34
Rondônia,27,26.46
Rondônia,28,6.94
